simulation,timestep,coral_count,turf_count,macroalgae_count,coral_neighbors,turf_neighbors,macroalgae_neighbors,coral_patch_count,algae_patch_count,turf_patch_count,macroalgae_patch_count
0,0,76,79,70,[0.34671053 0.34078947 0.3125    ],[0.32805907 0.34398734 0.32795359],[0.3427381  0.36797619 0.28928571],13,3,12,17
0,90,91,78,56,[0.59010989 0.28626374 0.12362637],[0.33792735 0.37649573 0.28557692],[0.20357143 0.39196429 0.40446429],6,4,11,3
0,180,97,64,64,[0.61761168 0.24699313 0.13539519],[0.3640625 0.353125  0.2828125],[0.20546875 0.28632812 0.50820313],6,5,12,3
0,270,104,57,64,[0.63645833 0.22764423 0.13589744],[0.43391813 0.30292398 0.26315789],[0.21757813 0.24375    0.53867188],4,7,17,4
0,360,94,70,61,[0.60443262 0.2516844  0.14388298],[0.32821429 0.39857143 0.27321429],[0.21680328 0.31106557 0.47213115],7,4,10,6
0,450,84,81,60,[0.58065476 0.30119048 0.11815476],[0.31666667 0.43024691 0.25308642],[0.17041667 0.33291667 0.49666667],6,1,8,7
1,0,82,67,76,[0.37144309 0.27652439 0.35203252],[0.32587065 0.28072139 0.39340796],[0.35953947 0.32960526 0.31085526],9,2,17,11
1,90,59,101,65,[0.43361582 0.42528249 0.14110169],[0.25231023 0.45107261 0.29661716],[0.14397436 0.4625641  0.39346154],9,1,6,11
1,180,69,75,81,[0.52826087 0.31702899 0.15471014],[0.29755556 0.32144444 0.381     ],[0.14084362 0.36111111 0.49804527],5,2,14,7
1,270,62,87,76,[0.57540323 0.30241935 0.12217742],[0.22911877 0.43342912 0.33745211],[0.09868421 0.37171053 0.52960526],5,3,7,5
1,360,63,59,103,[0.69404762 0.19166667 0.11428571],[0.21723164 0.32768362 0.45508475],[0.06334951 0.25606796 0.68058252],3,5,15,1
1,450,45,85,95,[0.57777778 0.26277778 0.15944444],[0.14029412 0.42970588 0.43      ],[0.07236842 0.38061404 0.54701754],1,3,10,2
2,0,74,90,61,[0.33119369 0.41509009 0.25371622],[0.35398148 0.36527778 0.28074074],[0.3        0.41693989 0.28306011],18,2,10,17
2,90,61,82,82,[0.55  0.275 0.175],[0.19908537 0.47825203 0.3226626 ],[0.12195122 0.33150407 0.54654472],5,1,8,7
2,180,63,60,102,[0.54986772 0.25330688 0.1968254 ],[0.27125    0.31583333 0.41291667],[0.12802288 0.25473856 0.61723856],3,2,14,3
2,270,65,72,88,[0.47564103 0.30551282 0.21884615],[0.259375  0.3712963 0.3693287],[0.15454545 0.29981061 0.54564394],6,2,11,5
2,360,50,85,90,[0.468 0.367 0.165],[0.22470588 0.42882353 0.34647059],[0.09333333 0.33287037 0.5737963 ],4,1,8,6
2,450,40,91,94,[0.4725     0.30708333 0.22041667],[0.1275641  0.46547619 0.40695971],[0.08856383 0.39361702 0.51781915],6,1,10,8
3,0,81,72,72,[0.36666667 0.34969136 0.28364198],[0.384375   0.31157407 0.30405093],[0.30949074 0.31782407 0.37268519],12,1,11,12
3,90,60,97,68,[0.38402778 0.42097222 0.195     ],[0.25317869 0.46537801 0.2814433 ],[0.17512255 0.40122549 0.42365196],11,1,6,9
